yourRun3
458.46
464.00
447.60
452.00
447.60
450.60
454.40
458.80
457.20
461.00
472.00
480.60
487.40
478.00
477.40
455.40
438.59
414.80
472.80
480.20
428.80
464.60
422.40
436.80
469.60
451.40
447.20
470.00
475.80
468.20
451.20
457.80
452.20
455.60
444.40
452.80
460.80
443.00
454.20
458.20
475.40
461.60
480.00
474.00
451.20
454.60
476.40
471.80
453.79
451.81
456.00
472.60
469.80
484.60
447.00
476.40
479.20
480.40
484.60
460.40
