yourRun1
79.01
172.40
266.80
292.60
313.60
387.60
422.40
417.40
409.00
439.20
476.80
473.40
450.60
461.20
470.40
460.80
455.80
462.20
469.40
458.20
451.80
471.20
484.80
484.00
479.80
444.20
469.20
471.20
463.80
477.00
467.20
469.20
452.80
464.40
461.80
470.60
461.60
463.20
473.80
467.20
458.40
470.80
479.00
471.20
458.60
453.20
454.60
455.20
453.20
427.20
461.40
464.80
465.40
463.60
477.00
468.00
478.00
489.60
490.20
484.40
