yourRun2
469.06
428.83
411.60
417.60
459.00
472.80
475.40
471.40
467.20
478.20
482.40
459.80
475.80
452.60
456.60
464.40
462.80
471.00
466.20
448.00
447.40
476.80
444.80
448.20
451.20
455.60
461.60
452.40
448.80
442.60
451.80
452.80
455.00
459.20
444.00
449.80
455.40
451.40
459.40
456.40
457.60
466.60
458.60
455.40
460.80
469.80
442.00
463.40
478.80
468.40
435.80
455.60
441.60
444.40
480.40
470.80
447.00
448.60
440.00
451.00
